full_name,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,cases,deaths
Adams Indiana,18001,5/1/2020,-20,,,,-32,,7,1
Adams Indiana,18001,5/2/2020,-11,,,,-14,,8,1
Adams Indiana,18001,5/3/2020,,,,,-22,,8,1
Adams Indiana,18001,5/4/2020,,,,,-26,,8,1
Adams Indiana,18001,5/5/2020,,,,,-26,,9,1
Adams Indiana,18001,5/6/2020,,,,,-24,,8,1
Adams Indiana,18001,5/7/2020,-11,,,,-28,,8,1
Adams Indiana,18001,5/8/2020,-17,,,,-25,,8,1
Adams Indiana,18001,5/9/2020,-11,,,,-17,,8,1
Adams Indiana,18001,5/10/2020,,,,,-16,,8,1
Adams Indiana,18001,5/11/2020,,,,,-17,,8,1
Adams Indiana,18001,5/12/2020,,,,,-19,10,8,1
Adams Indiana,18001,5/13/2020,,,,,-19,8,8,1
Adams Indiana,18001,5/14/2020,-8,,,,-22,10,9,1
Adams Indiana,18001,5/15/2020,-15,-7,,,-24,,9,1
Adams Indiana,18001,5/16/2020,-7,,,,-17,,9,1
Adams Indiana,18001,5/17/2020,-5,,,,-20,,9,1
Adams Indiana,18001,5/18/2020,-14,-1,,,-18,,10,1
Adams Indiana,18001,5/19/2020,-5,,,,-19,10,10,1
Adams Indiana,18001,5/20/2020,-1,3,,,-19,8,11,1
Adams Indiana,18001,5/21/2020,0,,,,-20,9,11,1
Adams Indiana,18001,5/22/2020,-9,7,,,-25,,11,1
Adams Indiana,18001,5/23/2020,-8,,,,-13,,12,1
Adams Indiana,18001,5/24/2020,-5,,,,-20,,12,1
Adams Indiana,18001,5/25/2020,-17,,,,-72,,12,1
Adams Indiana,18001,5/26/2020,0,,,,-17,6,12,1
Adams Indiana,18001,5/27/2020,2,15,,,-16,7,12,1
Adams Indiana,18001,5/28/2020,-1,,,,-16,7,13,1
Adams Indiana,18001,5/29/2020,-13,3,,,-17,,13,1
Adams Indiana,18001,5/30/2020,-6,,,,-3,,17,1
Adams Indiana,18001,5/31/2020,0,,,,-8,,15,1
Adams Indiana,18001,6/1/2020,2,7,,,-12,5,17,1
Adams Indiana,18001,6/2/2020,2,,,,-16,5,20,1
Adams Indiana,18001,6/3/2020,6,4,,,-14,5,20,1
Adams Indiana,18001,6/4/2020,-1,,,,-15,5,21,1
Adams Indiana,18001,6/5/2020,-8,11,,,-17,,23,1
Adams Indiana,18001,6/6/2020,-11,,,,-6,,22,1
Adams Indiana,18001,6/7/2020,-2,,,,-15,,22,1
Adams Indiana,18001,6/8/2020,6,18,,,-16,4,22,1
Adams Indiana,18001,6/9/2020,2,,,,-17,6,23,1
Adams Indiana,18001,6/10/2020,-1,7,,,-16,6,24,1
Adams Indiana,18001,6/11/2020,4,,,,-16,4,24,1
Adams Indiana,18001,6/12/2020,-9,-3,,,-20,,24,1
Adams Indiana,18001,6/13/2020,-6,,,,-7,,25,1
Adams Indiana,18001,6/14/2020,-4,,,,-8,,26,1
Adams Indiana,18001,6/15/2020,0,8,,,-14,3,27,1
Adams Indiana,18001,6/16/2020,0,,,,-14,4,28,1
Adams Indiana,18001,6/17/2020,3,-7,,,-15,3,29,2
Adams Indiana,18001,6/18/2020,8,,,,-17,4,29,2
Adams Indiana,18001,6/19/2020,-7,-6,,,-18,,29,2
Adams Indiana,18001,6/20/2020,-3,,,,-5,,37,2
Adams Indiana,18001,6/21/2020,-1,,,,-12,,37,2
Adams Indiana,18001,6/22/2020,0,-1,,,-14,5,37,2
Adams Indiana,18001,6/23/2020,4,,,,-16,5,37,2
Adams Indiana,18001,6/24/2020,1,2,,,-14,3,39,2
Adams Indiana,18001,6/25/2020,3,,,,-17,3,40,2
Adams Indiana,18001,6/26/2020,-8,-7,,,-16,,43,2
Adams Indiana,18001,6/27/2020,-5,,,,0,,44,2
Adams Indiana,18001,6/28/2020,-5,,,,-11,,45,2
Adams Indiana,18001,6/29/2020,8,7,,,-18,5,46,2
Adams Indiana,18001,6/30/2020,8,,,,-20,4,46,2
Adams Indiana,18001,7/1/2020,14,22,,,-22,4,46,2
Adams Indiana,18001,7/2/2020,20,,,,-30,,48,2
Adams Indiana,18001,7/3/2020,2,29,,,-55,,49,2
Adams Indiana,18001,7/4/2020,-23,,,,-26,,51,2
Adams Indiana,18001,7/5/2020,-4,,,,-14,,51,2
Adams Indiana,18001,7/6/2020,1,16,,,-21,5,51,2
Adams Indiana,18001,7/7/2020,7,,,,-19,5,51,2
Adams Indiana,18001,7/8/2020,3,10,,,-18,5,50,2
Adams Indiana,18001,7/9/2020,4,,,,-20,3,50,2
Adams Indiana,18001,7/10/2020,-7,13,,,-17,,50,2
Adams Indiana,18001,7/11/2020,5,,,,1,,50,2
Adams Indiana,18001,7/12/2020,-2,,,,-13,,50,2
Adams Indiana,18001,7/13/2020,3,10,,,-14,3,50,2
Adams Indiana,18001,7/14/2020,5,,,,-17,3,50,2
Adams Indiana,18001,7/15/2020,4,14,,,-13,3,53,2
Adams Indiana,18001,7/16/2020,1,,,,-13,4,54,2
Adams Indiana,18001,7/17/2020,-10,14,,,-15,,55,2
Adams Indiana,18001,7/18/2020,3,,,,3,,56,2
Adams Indiana,18001,7/19/2020,4,,,,-12,,58,2
Adams Indiana,18001,7/20/2020,4,20,,,-15,3,58,2
Adams Indiana,18001,7/21/2020,-3,,,,-19,5,59,2
Adams Indiana,18001,7/22/2020,-4,7,,,-14,4,64,2
Adams Indiana,18001,7/23/2020,0,,,,-18,3,67,2
Adams Indiana,18001,7/24/2020,-12,4,,,-17,,70,2
Adams Indiana,18001,7/25/2020,3,,,,-6,,70,2
Adams Indiana,18001,7/26/2020,9,,,,-14,,71,2
Adams Indiana,18001,7/27/2020,-10,6,,,-17,5,72,2
Adams Indiana,18001,7/28/2020,-1,,,,-18,4,74,2
Adams Indiana,18001,7/29/2020,0,8,,,-16,3,74,2
Adams Indiana,18001,7/30/2020,0,,,,-19,4,74,2
Adams Indiana,18001,7/31/2020,-6,13,,,-17,,75,3
Allen Indiana,18003,5/1/2020,-30,-4,126,-11,-43,18,593,56
Allen Indiana,18003,5/2/2020,-35,-1,,-10,-30,7,605,57
Allen Indiana,18003,5/3/2020,-29,-4,211,-22,-30,6,624,59
Allen Indiana,18003,5/4/2020,-17,1,114,-14,-39,14,669,59
Allen Indiana,18003,5/5/2020,-23,-2,16,-23,-41,17,700,60
Allen Indiana,18003,5/6/2020,-19,0,125,-12,-40,16,723,61
Allen Indiana,18003,5/7/2020,-21,-2,126,-18,-40,16,748,63
Allen Indiana,18003,5/8/2020,-28,-3,54,-19,-40,18,786,63
